Nom,Genre,Épisodes,Date de Diffusion,Score,Rank,Téléspectateurs,Acteurs,Date Debut,Date Fin
Tell No One (2024),"Thriller, Crime",12.0,"May 8, 2024 - May 12, 2024",7.5,6241.0,826,"Ou Hao, Li Yi Tong, Eric Le Yang, Zhang Guo Qiang, Hu Lian Xin, Wang Tong Hui","May 8, 2024","May 12, 2024"
Miss Unwieldy (2024),Romance,82.0,"May 11, 2024",7.5,6240.0,632,,"May 11, 2024",
My Special Girl (2024),"Comedy, Romance, Drama",24.0,"Feb 1, 2024 - Feb 11, 2024",7.5,6381.0,"4,799","Leon Zhang, Ireine Song, Mao Lin Lin, Zhou Yan Chen, Isabella, Zhou Da Wei","Feb 1, 2024","Feb 11, 2024"
Fighting for Love (2024),"Action, Historical, Romance, War",36.0,"Jan 31, 2024 - Feb 21, 2024",7.5,6363.0,"4,621","Zhang Tian Ai, Zhang Hao Wei, Wang Rui Chang, Gao Ge, Chen Zheng Yang, Sun Shao Long","Jan 31, 2024","Feb 21, 2024"
Moon Love (2024),"Historical, Romance, Fantasy",24.0,"Jun 26, 2024",7.5,6369.0,"1,312","Wang Jing Xuan, Ji Mei Han, Cao Wan Jin, Wang Xuan, Zeng Chen, Lin Meng","Jun 26, 2024",
A Tale of Love and Loyalty (2024),"Historical, Romance, Drama",20.0,"Feb 5, 2024 - Feb 18, 2024",7.5,6333.0,"4,979","Richard Li, Ming Jia Jia, Patrick Quan, Mu Le En, Wang Lue Tao, Li Si Yang","Feb 5, 2024","Feb 18, 2024"
Revenge of Reborn Princess (2024),"Historical, Romance, Fantasy",20.0,"Nov 5, 2024 - Nov 15, 2024",7.5,6487.0,"1,167","Gia Ge, Dong Zi Fan, Liu Jun Da, Wang Ze Xuan, Zhou Wei Wei, Hu Shi Wen","Nov 5, 2024","Nov 15, 2024"
Step by Step Love (2024),"Comedy, Romance, Drama",28.0,"Mar 28, 2024 - Apr 15, 2024",7.5,6518.0,"7,327","Zhao Zhi Wei, Lu Yang Yang, Brian Chang, Ni Mei Shi, Hu Bo Wen, Lyan Zhang","Mar 28, 2024","Apr 15, 2024"
Drunk to Love You (2024),Romance,24.0,"Mar 14, 2024 - Mar 26, 2024",7.5,6511.0,"1,343","Jeffrey, Lin Xin Yi, Xia Yi, Chai Ye, Liang Xiao Long, Xu Ke Er","Mar 14, 2024","Mar 26, 2024"
The Resilient Dr. Ling (2024),"Historical, Comedy, Romance, Fantasy",27.0,"Aug 8, 2024 - Aug 23, 2024",7.5,6406.0,"1,319","Amy Sun, Wang Hong Xin, Wang Nan Nan, Lu Jin Yuan, Li Yi Mu, Chen Yi Xi","Aug 8, 2024","Aug 23, 2024"
The Unexpected Marriage (2024),"Historical, Comedy, Romance",24.0,"Jul 31, 2024 - Aug 9, 2024",7.5,6503.0,"2,550","Qi Yu Chen, Wu Jun Ting, Wang Chuan, Gao Hui Lin, Li Xing Yao, Jin Chong","Jul 31, 2024","Aug 9, 2024"
